1.AttrbuteError        #试图访问一个对象没有的属性
2.IOError              #输入/输出异常，基本上无法打开文件
3.ImportError          #无法引入模块或包，基本上是路径或者名称错误
4.IndentationError     #语法错误（的子类），代码没有正确对齐
5.IndexError           #下标索引超出序列边界，比如当x只有三个元素，却试图访问x[15]
6.KeyError             #试图访问字典里不存在的键
7.KeyboardInterrupt    #按下Ctrl+x
8.NameError            #使用一个还没有被赋予对象的变量
9.SyntaxError          #代码非法，代码不能被编译
10.TypeError           #传入对象类型与要求不符
11.UnboundLocalError   #试图访问一个还未被设置的局部变量，基本上是由于另有一个同名的全局变量
12.ValueError          #传入一个调用者不期望的值，即使值的类型是正确的
